source,target,source example,target example,source language,target language,source segment,url,comment
"lungo il tempo","along the years","E ciò che avevano chiesto lungo il tempo, soprattutto dopo il 1867, ed è ciò che speravano anche in quel momento.","They had demanded that along the years, especially after 1867, and were still hoping for that at that moment.","it","en","","","over time"
"siccità","drought","La siccità si è fatta sentire sui raccolti in tutta la regione.","The drought has taken its toll on crop yields across the entire region.","it","en","","",""
"attraente","attractive","La recinzione in pino intorno al cortile era sia economica che attraente.","The deal fence around the yard was both economical and attractive.","it","en","","","appealing, handsome"
"tenerezza","tenderness","Dovresti pulire il calamaro prima di grigliarlo per garantire la tenerezza.","You should gut the squid before grilling it to ensure tenderness.","it","en","","","affection, kindness"
"accavallare","cross","Non accavallare le gambe, il dottore ha detto di non farlo.","Please don't cross your legs, the doctor said not to.","it","en","","","subvention"
"scoparsela","fuck her","Qualcuno dovrebbe... scoparsela per insegnarle la lezione.","Someone should just fuck her to teach her a lesson.","it","en","","","bang her"
"basito","thrilled","Quando ci ha portato alla nostra camera Sono rimasto basito.","When he brought us to our room I was thrilled.","it","en","","","stunned, astonished"
"reputare","consider","Se qualcuno riesce comunque a reputare questo materiale come offensivo penso che sia palesemente fuori strada!","If someone consider this material as offensive I think that he's clearly wrong!","it","en","","","deem, think"
"comparire","appear","Ogni cittadino ha il diritto di comparire davanti al tribunale se necessario.","Every citizen has the right to appear before the law court if needed.","it","en","","","occur, show up"
"annuire","nod","Durante la presentazione, rimase zitto e poté solo annuire in segno di approvazione.","During the presentation, he remained mute and could only nod in agreement.","it","en","","","niddle-noddle, nid-nod"
"tracciare","track","Il ricercatore ha creato una base di conoscenze per tracciare dati storici e tendenze.","The researcher built a knowledge base to track historical data and trends.","it","en","","","trace, draw"
"procedere","proceed","Fino a dove mi riguarda, possiamo procedere con il piano originale.","As far as I'm concerned, we can proceed with the original plan.","it","en","","","carry out, move"
"di buon passo","at a good pace","Sono due ore di cammino di buon passo.","That is two hours walking at a good pace.","it","en","","","briskly"
"molo","pier","Poteva sentire il flusso della marea che lambiva il molo di legno.","She could hear the tide as it lapped against the wooden pier.","it","en","","","dock, jetty"
"incuiosito","intrigued","Ha ricevuto una lettera da un mittente misterioso che lo ha incuriosito.","He received a letter from an unknown sender that intrigued him.","it","en","","","curious, interested"
"mettersi a","get","È abbastanza difficile a prima di mettersi a proprio agio in tacchi alti.","It is quite difficult at first to get comfortable in high heels.","it","en","","","get to, set to"
"inchinare","bow","Non avrei mai pensato di vederti inchinare ai piedi di tuo padre.","I never thought I'd see you bow at your father's foot.","it","en","","",""
"affondato","sunk","Decise di limitare le perdite nonostante il costo affondato del suo investimento.","She decided to cut her losses despite the sunk cost of her investment.","it","en","","","sunken, sink"
"in riva al fiume","by the river","","","it","en","","",""
"in riva al mare","by the sea","","","it","en","","",""
"mi sa che","I think","E mi sa che hai preso tutti i criminali della città.","And I think you got all the criminals in town.","it","en","","",""
"impugnatura","handle","Ma io ho trovato tracce dove la lama si infila nell'impugnatura.","But I found trace evidence where the blade goes into the handle.","it","en","","","grip, handgrip"
"pulsante","button","Con la pressione di un pulsante, l'intero parco divertimenti prese vita.","With a push of a button, the entire amusement park sprang to life.","it","en","","","switch, push-button"
"casalingo","home","Il supporto locale crea un'atmosfera vibrante e potenzia il vantaggio casalingo.","Local support creates a vibrant atmosphere and boosts the home advantage.","it","en","","",""
"avvenire","take place","Con i cuori pronti, hanno abbracciato il cambiamento che stava per avvenire.","With readied hearts, they embraced the change that was about to take place.","it","en","","",""
"sfornare","churn out","Continuano a sfornare nuovi contenuti per mantenere il loro pubblico coinvolto.","They continuously churn out new content to keep their audience engaged.","it","en","","","bake, crank out"
"in discesa","downhill","Costruirono una piccola rampa per lanciarsi in discesa con i loro skateboard.","They built a small ramp to launch themselves downhill on their skateboards.","it","en","","",""
"in salita","uphill","Spingere il passeggino in salita era una sfida per i genitori stanchi.","The pushing of the stroller uphill was challenging for the tired parents.","it","en","","",""
"brufolo","pimple","Il brufolo finalmente è maturato ed è uscito da solo.","The pimple finally reached a head and pushed out on its own.","it","en","","","zit, spot"
"sfizioso","delicious","Consente di proporre ogni giorno un menù vario e sfizioso.","Allows us to offer a varied menu every day and delicious.","it","en","","","tasty, extravagant"
"tosta","tough","Nonostante la sua statura, è una tipa tosta con uno spirito combattivo incredibile.","Despite her size, she's a tough girl with an incredible fighting spirit.","it","en","","","badass, hard"
"sgradevole","unpleasant","Tutti si fermarono al rumore sgradevole di qualcuno che schiacciava un insetto.","Everyone paused at the unpleasant crunch of someone stepping on a bug.","it","en","","","uncomfortable, nasty"
"unto","anointed","Durante la cerimonia, ogni cresimando è stato unto con olio santo.","In the ceremony, each confirmand was anointed with holy oil.","it","en","","","greasy, greased"
"truccare","rig","I due politici erano d'accordo per truccare le elezioni a loro favore.","The two politicians were in cahoots to rig the election in their favor.","it","en","","","fix, make up"
"per carità","for pity's sake","Robert, dobbiamo fare qualcosa, per carità.","Robert, we have to do something, for pity's sake.","it","en","","","for pity's sake, for goodness sake"
"azzeccato","right","Tutti gli altri avevano dubbi, ma onestamente, ci hai azzeccato sull'approccio migliore.","Everyone else had doubts, but honestly, you're right about the best approach.","it","en","","","apt, guessed"
"perlomeno","at least","La camera d'albergo era piccola, ma perlomeno aveva una bella vista.","The hotel room was small, but at least it had a nice view.","it","en","","","anyway, at the very least"
"che fa sì","that makes","Lui sa scatenarsi in un modo che fa sì che tutti si uniscano a lui.","He can break it down in a way that makes everyone join in with him.","it","en","","","which causes, that causes"
"briciola","crumb","Era determinata a mangiare fino all'ultima briciola della deliziosa torta.","She was determined to eat every last crumb of the delicious cake.","it","en","","","breadcrumb, bit"
"fucile","rifle","Per garantire la precisione, doveva regolare il mirino del fucile.","To ensure accuracy, she needed to sight in the rifle scope.","it","en","","","gun, shotgun"
"giretto","ride","Davvero un bel gruzzolo per un semplice giretto in barca.","That is some quality scratch from just a little boat ride.","it","en","e poi un altro giretto in centro.","https://www.reverso.net/reader/en/a732e00a-155f-4655-9f9e-40c0635f2e8b","stroll, walk"
"spazzola","brush","Ha notato un ciuffo di peli sulla spazzola dopo aver pettinato il cane.","She noticed a mat of hair on the brush after grooming her dog.","it","en","trovarmi una spazzola rotativa,","https://www.reverso.net/reader/en/a732e00a-155f-4655-9f9e-40c0635f2e8b","hairbrush, wiper"
"pinacoteca","art gallery","Il comune ospita la pinacoteca e il museo della ceramica.","The town hall hosts the art gallery and the ceramics museum.","it","en","c'è la pinacoteca,","https://www.reverso.net/reader/en/a732e00a-155f-4655-9f9e-40c0635f2e8b","picture gallery, picture-gallery"
"infine","finally","Abbiamo scalato montagne, attraversato fiumi, e infine raggiunto la nostra destinazione.","We climbed mountains, crossed rivers, and finally reached our destination.","it","en","","",""
"razza","race","Le discussioni sulla razza possono rivelare pregiudizi razziali che devono essere affrontati.","Discussions about race can reveal racist assumptions that need to be addressed.","it","en","","","breed, kind"
"impostazione","setting","Ha trovato l'impostazione attivata che consente l'accesso remoto ai suoi file.","She found the enabled setting that allows remote access to her files.","it","en","","","approach, setup"
"mi preme sottolineare","I would like to stress","In aggiunta a ciò mi preme sottolineare tre concetti.","In addition to this, I would like to stress three points.","it","en","","","I would like to emphasise, I would like to underline"
"traguardo","finish line","Il corridore ha fatto un'ampia curva prima di tagliare il traguardo.","The runner took a long sweep before crossing the finish line.","it","en","","",""
"agganciare","hook","Può agganciare la borsa allo zaino per avere più spazio.","She can hook the bag to her backpack for extra space.","it","en","","","attach, clip"
"agganciato","hooked","Con una robusta canna da pesca, ha agganciato una grossa preda.","With a sturdy fishing rod, she hooked a big catch.","it","en","","",""
"ribadire","reiterate","Devo ribadire quanto sia cruciale essere puntuali per i nostri appuntamenti.","I must reiterate how crucial it is to be punctual for our appointments.","it","en","","","repeat, reaffirm"
"addosso","all over","Potrei avere mani di ragazzi a caso, addosso a me.","I might have random guys' hands all over me.","it","en","","","on, wearing"
"rialzo","rise","I trader spesso vendono in copertura dopo un significativo rialzo del mercato.","Traders often sell against the box after a significant market rise.","it","en","","",""
"lavandino","sink","Ha le tasche piene del suo coinquilino che lascia i piatti sporchi nel lavandino.","He's sick and tired of his roommate leaving dirty dishes in the sink.","it","en","","","washbasin, basin"
"abbonamento","subscription","Durante il periodo di grazia, puoi cancellare l'abbonamento senza alcuna penalità.","During the grace period, you can cancel your subscription without any penalties.","it","en","","","membership, pass"
"cassetta","box","La gallina deporrà le sue uova nella cassetta di nidificazione ogni mattina.","The hen will lay her eggs in the nesting box each morning.","it","en","","",""
"gambero","shrimp","I due iniziarono a combattere, e il gambero fu sconfitto.","The two began a fight, and the shrimp was beaten up.","it","en","","",""
"pudore","modesty","Le forme che il pudore assume variano da una cultura all'altra.","The forms taken by modesty vary from one culture to another.","it","en","","",""
"occuparsi","deal with","Hanno chiamato un disinfestatore per occuparsi dell'infestazione di termiti.","They called an exterminator to deal with the white ant infestation.","it","en","","","take care, cope with"
"etichetta","label","Ha staccato l'etichetta dalla bottiglia con un paio di forbici.","She nicked the label off the bottle with a pair of scissors.","it","en","","","tag, etiquette"
"scheda","card","Una scheda perforata fu inserita nella macchina per avviare il processo.","A punch card was inserted into the machine to start the process.","it","en","","","tab, board"
"consegnare","deliver","I camionisti sono partiti all'alba per consegnare le merci in orario.","The truckers hit the road at dawn to deliver their goods on schedule.","it","en","","","hand over, submit"
"sempre di più","more and more","Ogni tentativo di imbucare il bersaglio in rapido movimento lo eccitava sempre di più.","Every attempt to pot the fast-moving target excited him more and more.","it","en","","",""
"in termini di tempo","time-consuming","Ha trovato il processo impegnativo frustrante e dispendioso in termini di tempo.","He found the trying on process to be frustrating and time-consuming.","it","en","","",""
"scettiche","skeptical","Molte persone erano scettiche riguardo alla sua previsione sull'aumento del mercato.","Many people were skeptical of his prediction concerning the market's rise.","it","en","","",""
"permettersi","afford","La piccola azienda era al verde e non poteva permettersi di assumere nuovi dipendenti.","The small business was badly off and couldn't afford to hire new employees.","it","en","","","allow oneself, indulge"
"gonfio","swollen","Il pettirosso cinguettava felice, col gozzo gonfio di vermi abbondanti.","The robin chirped happily, its crop swollen from the abundant worms.","it","en","","",""
"arrendersi","surrender","Il generale sapeva che era ora di alzare bandiera bianca e arrendersi.","The general knew it was time to throw in the towel and surrender.","it","en","","","give up, give in"
"peccato","sin","Mentire è spesso considerato un peccato capitale in molte culture e religioni.","Lying is often considered a cardinal sin in many cultures and religions.","it","en","","","shame, pity"
"scorrevole","sliding","Il suo touchscreen scorrevole rende facile navigare tra le app.","Her sliding touchscreen makes it easy to navigate through apps.","it","en","","","slide, smooth"
"rincorrere","chase","Hanno iniziato a rincorrere il ladro mentre scappava nel vicolo.","They began to chase the thief as he ran down the alley.","it","en","","","run after, pursue"
"impolverato","dusty","Ha inciso il suo nome con un dito sul vetro impolverato.","She etched her name with a finger on the dusty windowpane.","it","en","","",""
"tagliare","cut","Gli sforzi del governo per tagliare la burocrazia hanno migliorato notevolmente l'efficienza.","The government's efforts to cut red tape have improved efficiency significantly.","it","en","","",""
"fianco","side","Il cane rimase vicino e fedele al fianco del suo padrone.","The dog stayed closely and tightly by its owner's side.","it","en","","",""
"fare un esempio","give an example","Ok, ora devi fare un esempio usandola in una frase.","Okay, now you have to give an example of it in a sentence.","it","en","","","to give an example"
"sparire","disappear","Il mago ha fatto sparire l'elefante davvero, non era solo un'illusione.","The magician made the elephant disappear for real, not just an illusion.","it","en","","","go away, vanish"
"precipitevolissimevolmente","precipitably","","","it","en","","",""
"bruscolino","smidge","bruscolino","smidge","it","en","","",""
"letamaio","dunghill","letamaio","dunghill","it","en","",""," cesspool,  midden"
"macello","slaughterhouse","macello","slaughterhouse","it","en","",""," slaughter,  mess"
"spaccare","split","spaccare","split","it","en","",""," break,  smash"
"scarlattina","scarlet fever","scarlattina","scarlet fever","it","en","","",""
"mazza","bat","mazza","bat","it","en","",""," club,  poker"
"mascalzone","rascal","mascalzone","rascal","it","en","",""," scoundrel,  villain"
"verme","worm","verme","worm","it","en","",""," creep,  maggot"
"patto","pact","Il patto profano fu sigillato col sangue, legando i loro destini insieme.","The unholy pact was sealed with blood, binding their fates together.","it","en","","","covenant, deal"
"contrattempo","setback","Credeva in se stessa e sapeva di poter superare il contrattempo.","She believed in herself and knew she could pull through the setback.","it","en","","","mishap, hiccup"
"andare a ruba","flying off the shelves","Il sangue in questo posto ha il vizio di andare a ruba.","The blood in this place has a habit of flying off the shelves.","it","en","","","sell like hotcakes, sell like hot cakes"
"apparecchiare","set","Se avesse bisogno di me per apparecchiare i tavoli, lo farei...","If he needed me to set tables that night, I would...","it","en","","","lay, set the table"
"macellare","slaughter","È importante imparare le tecniche corrette per macellare gli animali in modo appropriato.","It is important to learn the proper techniques to slaughter animals correctly.","it","en","","","butcher, knacker"
"rotella","wheel","Devi regolare la rotella di tensione prima di modificare le impostazioni.","You must wind the tension wheel before adjusting the settings.","it","en","","","thumbwheel, castor"
"mito","myth","Ha sempre pensato che il colpo di fulmine fosse un mito finché non gli è successo.","He always thought love at first sight was a myth until it happened to him.","it","en","","","legend, mythology"
"vivo e vegeto","alive and well","Lo spirito comunitario qui è vivo e vegeto, favorendo le connessioni tra vicini.","The community spirit here is alive and well, fostering connections among neighbors.","it","en","","","alive and kicking, hale and hearty"
"scattolina","box","Winston non ha badato a spese, per questa scatolina di legno.","Winston didn't spare any pennies with this box of wood.","it","en","","","case, bitty box"
"tappa","stage","Già vi avevamo segnalato l'evento in occasione della prima tappa.","We already signalled the event on the occasion of its first stage.","it","en","","","stop, step"
"mossa","move","La loro mossa aziendale audace ha fatto scalpore nei mercati finanziari.","Their bold business move made a splash in the financial markets.","it","en","","","play, step"
"feccia","scums","Per risolvere la tua feccia, la spazzatura è più che sufficiente.","To fix you scums, trash is more than enough.","it","en","","","dreg, trash"
"ricettacolo","receptacle","Il ricettacolo del girasole è abbastanza robusto da sostenere numerosi piccoli fiori.","The sunflower's receptacle is sturdy enough to support numerous tiny florets.","it","en","","","vessel, repository"
"raffigurare","depict","Ha scelto il verde vescica per raffigurare le foglie ricche e scure nella sua arte.","He selected sap green to depict the rich, dark leaves in his art.","it","en","","","represent, portray"
"grezzo","raw","Il girato grezzo sarà montato prima dell'uscita del film finale.","The raw footage will be edited before the final movie release.","it","en","","","rough, crude"
"faccenda","thing","Johnny, digli quell'altra faccenda che mi sta a cuore.","Johnny, you explain the other thing I wanted to talk about.","it","en","","","matter, business"
"redditizio","profitable","Tutto ciò in cui investe diventa redditizio; ha davvero il tocco d'oro.","Everything she invests in turns profitable; she truly has the golden touch.","it","en","","","lucrative, cost effective"
"affidare","entrust","Si preferisce affidare la gestione ad un profilo con esperienza nel settore.","It prefers to entrust the management to a profile with industry experience.","it","en","","","trust, rely"
"campione","sample","Il campione conteneva un minerale unico che ha incuriosito i ricercatori.","The sample contained a unique mineral that intrigued the researchers.","it","en","","","champion, specimen"
"sorgente","source","Il suo telefono funge da sorgente luminosa portatile durante i blackout.","Her phone acts as a portable light source during power outages.","it","en","","","spring, fountain"
"lascia perdere","never mind","Io direi una vacanza di sei mesi... lascia perdere la libertà vigilata.","I call it a six-month vacation, never mind probation.","it","en","","","forget about it, leave it alone"
"avere le carte in regola","have the right cards","","","it","en","","",""
"tracce","tracks","La musica pirata era popolare tra i fan che cercavano tracce esclusive.","The bootleg music was popular among fans who wanted exclusive tracks.","it","en","","","traces, trail"
"rilevare","detect","Il telescopio può rilevare oggetti nell'ordine di anni luce di distanza.","The telescope can detect objects in the order of light-years away.","it","en","","","note, point out"
"trattenere","hold","I passeggeri potevano solo trattenere il fiato durante la picchiata dell'aereo.","Passengers could only hold their breath during the aircraft's nosedive.","it","en","","","retain, keep"
"caminetto","fireplace","Spesso mi rilasso davanti al caminetto durante le fredde notti invernali.","I often lounge in front of the fireplace during cold winter nights.","it","en","","","mantelpiece, chimney"
"cammino","path","Il cammino davanti era indistinto, oscurato da una fitta nebbia e ombre.","The path ahead looked unclear, obscured by thick fog and shadows.","it","en","","","journey, way"
"fiammifero","match","Bastò un solo fiammifero per dar fuoco all'intera catasta di legna.","They needed just one match to kindle the whole stack of firewood.","it","en","","","matchstick, light"
"accendino","lighter","Il falò fu acceso con un semplice accendino preso dallo zaino.","The campfire was started with a simple lighter from the backpack.","it","en","","","cigarette lighter, light"
"candela","candle","La fiamma della candela è uscita a causa del forte vento fuori.","The candle flame has gone out due to the strong wind outside.","it","en","","","candlelight, candela"
"assumersi","take","La sua audacia nell'assumersi rischi spesso porta sia ricompense che sfide.","His daringness to take risks often yields both rewards and challenges.","it","en","","","assume, accept"
"fuori di sé","out of his mind","Quando ha sentito la notizia, è andato completamente fuori di sé dalla gioia.","When he heard the news, he went completely out of his mind with joy.","it","en","","","over the edge, wild"
"saltare in aria","blow up","Stasera noi due soli, faremo saltare in aria un'altra fabbrica.","Tonight, the two of us alone will blow up another factory.","it","en","","","explode, blown off"
"casalinga","housewife","Come casalinga, è diventata un'esperta nella gestione del tempo.","As a housewife, she has become an expert at time management.","it","en","","","home, homemaker"
"assieme a","with","Lista file di swap, assieme a dati utili per un recupero.","List swap files, with information about using them for recovery.","it","en","","","together with, alongside"
"arricchire","enrich","Dovremmo attingere idee da varie culture per arricchire il nostro programma.","We should source ideas from various cultures to enrich our program.","it","en","","","enhance, add"
"pensione","pension","Fondi pensione solidi possono sostenere l'economia nazionale garantendo pensioni stabili.","Healthy pension funds can support a nation's economy through stable retirements.","it","en","","","board, retirement"
"essere portati per qualcosa","be carried away by something","","","it","en","","",""
"pozzanghere","puddles","Il cane si è bagnato giocando nelle pozzanghere ed è ora fradicio.","The dog got wet playing in the puddles and is now soaked.","it","en","","",""
"gettonato","popular","Questo restringe il campo, a seconda di quanto sei gettonato.","That narrows it down, depending on how popular you are.","it","en","","",""
"scoppiare","burst","Quando la temperatura è scesa, alcuni tubi rischiavano di scoppiare.","When the temperature dropped, some of the pipes threatened to burst.","it","en","","",""
"spremuta","juice","Ha spremuto un'arancia rossa per una spremuta fresca durante il brunch.","She squeezed a blood orange for fresh juice during brunch.","it","en","","","squeezing, squash"
"pietra","stone","Le sue mani plasmatrici hanno creato una bellissima scultura dalla pietra grezza.","Her shaping hands crafted a beautiful sculpture from the unrefined stone.","it","en","","","rock, block"
"pare che","apparently","È morto, ma pare che la sorella di Lainey sia una medium.","He died, but apparently Lainey's sister is a medium.","it","en","","","it seems that, it looks like"
"serbatoio","tank","Il vecchio serbatoio perdeva carburante, causando un grave rischio ambientale.","The old tank leaked fuel, causing a significant environmental hazard.","it","en","","","reservoir, container"
"serbatoio","réservoir","Ha disegnato un diagramma che mostra il diametro interno del serbatoio circolare.","Elle a dessiné un schéma montrant le diamètre intérieur du réservoir circulaire.","it","fr","","","cuve, tank"
"riscaldamento","heating","Siamo rimasti al freddo quando il sistema di riscaldamento si è guastato.","We were left in the cold when the heating system broke down.","it","en","","","warming, heat"
"provenire","come","Le sue visioni idealiste dell'amore sembravano provenire dal paese dei balocchi.","Her idealistic views of love seemed to come from somewhere over the rainbow.","it","en","","","originate, come from"
"tutti e tre","all three","Si può iniziare con il livello facile e passare tutti e tre.","You can start with the easy level and pass all three.","it","en","","","all the three"
"sedile","seat","Quando il treno partì, dovetti stringermi forte al sedile.","As the train started, I needed to hang on to my seat.","it","en","","","seating, bench"
"fino a quando","until","Buon viaggio a te, fino a quando ci rivedremo al tuo ritorno.","Happy trails to you, until we meet again on your return.","it","en","","","as long as, until such time as"
"cozze","mussels","Ordinare cozze con salsa cocktail è diventato il mio nuovo piacere culinario.","Ordering mussels with cocktail sauce has become my new dining favorite.","it","en","","",""
"food poisoning","intossicazione alimentare","After the party, several guests came down with food poisoning symptoms.","Dopo la festa, diversi ospiti hanno accusato sintomi di intossicazione alimentare.","en","it","","",""
"assembramento","gathering","Ha avvisato la squadra di sicurezza in ronda dell'assembramento sospetto nel vicolo.","She alerted the patrolling security team about the suspicious gathering in the alley.","it","en","","","assembly, assemblage"
"tessera","card","Hanno ottenuto l'accesso all'edificio tramite una tessera di sicurezza.","They gained access to the building by way of a security card.","it","en","","","tile, membership card"
"confezione","packaging","Adoro come la confezione mantenga gli snack freschi più a lungo.","I love how the packaging keeps the snacks fresh for longer.","it","en","","","pack, package"
"evadere","escape","Alcune persone bevono solo per evadere dalla vita quotidiana e dallo stress.","Some people liquor just to escape from their daily lives and stress.","it","en","","",""
"una pietra miliare","a stepping stone","Imparare a guidare è stata una pietra miliare verso l'indipendenza per l'adolescente.","Learning to drive was a stepping stone towards independence for the teenager.","it","en","","",""
"disturbi alimentari","eating disorders","Per curare i disturbi alimentari, counseling familiare o la terapia è critico.","To cure eating disorders, family counseling or therapy is critical.","it","en","","",""
"alla mano","approachable","Nonostante le loro origini nobili, rimanevano umili e alla mano.","Despite their nobler background, they remained humble and approachable.","it","en","","",""
"crocera","cruise","Crocera in nave da porto Zadar","Ship cruise from port Zadar","it","en","","",""
"cadenza","cadence","Lei recitava le sue battute con una cadenza misurata che catturava il pubblico.","She recited her lines with a metered cadence that captivated the audience.","it","en","","",""
"incrollabile","unwavering","Il supporto della mia famiglia stretta è incrollabile in tutte le situazioni.","The support of my immediate family is unwavering in all situations.","it","en","","",""
"strumento","tool","Col passare del tempo, scoprì che il perdono è uno strumento potente.","He discovered, with time, that forgiveness is a powerful tool.","it","en","","",""
"galleggiare","float","Le cime delle montagne sembravano galleggiare sopra la nebbia sottostante.","The mountain peaks seemed to float above the low-lying mist below.","it","en","","","float around, bob around"
"one time or another","una volta o l'altra","They all do, one time or another.","Tutti lo fanno, una volta o l'altra.","en","it","","",""
"accattivante","captivating","Suonavano la chitarra con foga, producendo una melodia potente e accattivante.","They whaled on the guitar, producing a powerful and captivating melody.","it","en","","",""
"scremare","skim","È possibile avventurarsi fuori e scremare attraverso la superficie dell'acqua.","You can venture out and skim across the surface of the water.","it","en","","",""
"capigliatura","hair","Talvolta si avvolgeva nella capigliatura o si immergeva in acqua magnetizzata.","Sometimes the gift was wrapped in hair or dipped into magnetized water.","it","en","","",""
"una folta chioma","a thick head of hair","Ha una folta chioma che le scende lungo la schiena.","She has a thick head of hair that cascades down her back.","it","en","","",""
"noioso","boring","Ha perso interesse a metà del film, trovandolo troppo noioso.","She switched off halfway through the movie, finding it too boring.","it","en","","","dull, tedious"
"annoiato","bored","Il suo discorso mancava di verve, lasciando il pubblico indifferente e annoiato.","His speech lacked sparks, leaving the audience feeling indifferent and bored.","it","en","","","annoyed, bore"
"da questa parte","this way","Che è da questa parte sul retro, se volete vederla.","Which is back this way, if you want to see it.","it","en","","","over here, on this side"
"mollare","give up","La riluttanza del capitano della squadra a mollare ha motivato i giocatori.","The team captain's unwillingness to give up motivated the players.","it","en","","",""
"schiuma da barba","shaving cream","La schiuma da barba ha creato una superficie liscia per il rasoio.","The shaving cream created a smooth surface for the razor.","it","en","","","shaving foam, shave foam"
"ferocità","ferocity","La ferocità dei trenta anni che la guerra ha girato molti Europei contro dichiara la religione.","The ferocity of the Thirty Years War turned many Europeans against state religion.","it","en","","",""
"poligono","shooting range","Ha caricato con cura il suo calibro. prima di andare al poligono.","He loaded his forty-five carefully before heading out to the shooting range.","it","en","","",""
"sparatoria","shooting","Il film includeva intense scene di sparatoria che hanno lasciato il pubblico senza fiato.","The film included intense scenes with shooting that left the audience breathless.","it","en","","",""
"andare pazza","go crazy","","","it","en","","",""
"tramontare","set","Il sole sta per tramontare; andiamo a guardarlo insieme.","The sun is about to set; let's go watch it together.","it","en","","","sunset, go down"
"sorgere","arise","Si rese conto che il piano era problematico dopo aver visto sorgere imprevisti.","He realized the plan was sticky after seeing the unexpected issues arise.","it","en","","","rise, emerge"
"rituale","ritual","La mostra d'arte presentava un tema rituale intrecciato attraverso varie culture.","The art exhibit showcased a ritual theme woven through various cultures.","it","en","","","ritualistic, ceremonial"
"valore","value","Ha capito che l'inflazione incide sul valore attuale del denaro futuro.","He understood that inflation affects the present value of future money.","it","en","","","worth, amount"
"scroscio","roar","Irrompe, altre volte, la sua natura indomabile da una falla di luce, in uno scroscio di grida e cristalli.","Other times, its indomitable nature floods in from a leak of light, in a roar of screams and crystals.","it","en","","","downpour, round"
"pioggia","rain","La tempesta si spostò verso sud-est, portando pioggia ai campi aridi.","The storm moved southeast, bringing rain to the parched fields.","it","en","","","rainfall, shower"
"emmettere","emit","","","it","en","","",""
"dispositivo","device","Il dispositivo ha un elemento unico che ne migliora le prestazioni complessive.","The device has a unique component that enhances its overall performance.","it","en","","","system, equipment"
"risvegliarsi","wake up","E poi... ha iniziato a risvegliarsi più o meno quando...","And then it started to wake up - around the same time...","it","en","","","awaken, awake"
"zanzara","mosquito","Sentì un pizzico sul braccio quando la zanzara lo punse.","He felt a pinch on his arm when the mosquito bit him.","it","en","","","skeeter, gnat"
"limaccioso","muddy","Viaggiando sul traghetto di notte, il mare appare verde, limaccioso, sinistro, terrificante.","Travelling by ferry at night, the sea looks green, muddy, grim and terrifying.","it","en","","","slimy, roily"
"è calato un silenzio improvviso","There was a sudden silence","","","it","en","","",""
"è calato il silenzio","The silence has fallen","","","it","en","","",""
"zittirsi","belt up","Nella lezione di meditazione, tutti devono zittirsi e rilassarsi.","In meditation class, everyone needs to belt up and relax.","it","en","","","hush down, pipe down"
"funzionare","work","La batteria nuova ha fatto funzionare il dispositivo come nuovo.","The replaced battery made the device work like new again.","it","en","","","function, run"
"mai e poi mai","Never, ever","","","it","en","","",""
"tutto fumo e niente arrosto","All smoke and no roast","","","it","en","","",""
"rivalry","La <em class=""both"">rivalità<hend> tra i fratelli può infiammarsi per le piccole cose.","The siblings' rivalry can flare up over the smallest things.","La <em class=""both"">rivalità tra i fratelli può infiammarsi per le piccole cose.","en","it","","","competizione, concorrenza"
"è saltato fuori","it turns out","Comunque, è saltato fuori che lui è stato nel giro dei ristoranti...","Anyway, it turns out that he was in the restaurant business...","it","en","","","came up, popped up"
"d'altro canto","on the other hand","Tu, d'altro canto, non sei niente senza quell'uomo.","You on the other hand, are nothing without that man.","it","en","","","furthermore, moreover"
"nel bene e nel male","in good and evil","","","it","en","","",""
"esagerato","exaggerated","Tutti ne parlavano, ma gran parte del tam tam era esagerato.","Everyone talked about it, but much of the hype was exaggerated.","it","en","","","overreacted, too much"
"imprenditoriale","entrepreneurial","Ricevere l'atto costitutivo ha segnato l'inizio del suo viaggio imprenditoriale.","Receiving the certificate of incorporation marked the beginning of her entrepreneurial journey.","it","en","","",""
"Rotta","route","Grazie al suo supremo sacrificio... ora abbiamo le coordinate della Rotta di Nexus.","Because of his great sacrifice, we now have the nexus route coordinates.","it","en","","",""
"chiedere un prestito","apply for a loan","Nel caso abbiate più spese che entrate non è assolutamente una buona idea chiedere un prestito.","If you have more expenditures than income, then it is not a good idea to apply for a loan.","it","en","","",""
"mantenere l'attenzione","keep the focus","Spesso evitava dettagli insignificanti per mantenere l'attenzione sui compiti importanti.","She often avoided pettifogging details to keep the focus on important tasks.","it","en","","","stay engaged, keep the attention"
"mantenere le promesse","keep promises","La sua incapacità di mantenere le promesse è un vero fastidio nella nostra amicizia.","Her inability to keep promises is a royal pain in our friendship.","it","en","","","deliver on their promises, produce the goods"
"degrado","degradation","La crisi ecologica segnala una spirale di degrado per le nostre risorse naturali.","The ecological crisis signals a spiral of degradation for our natural resources.","it","en","","","deterioration, decay"
"fondare","found","Aiuta il tuo amico così che possa fondare il secondo villaggio presto.","Support your friend so that they can soon found their second village.","it","en","","","establish, start"
"lobster","aragosta","The chef prepared a delicious lobster with garlic butter sauce.","Lo chef ha preparato una deliziosa aragosta con salsa al burro e aglio.","en","it","","","astice, scampi"
"inciampare","trip","I lacci allentati delle sue scarpe la fecero inciampare mentre correva.","The loosened laces on her shoes caused her to trip while running.","it","en","","","stumble, trip over"
